id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
4671949,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:30:59.044565+00,45600,0,t,3566,-1807593416,1111111111101111
4671950,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:01.024535+00,45598,0,t,3567,-1807591436,1111111111101011
4671953,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:09.641081+00,45600,1,t,3568,-1807582819,1111111111111011
4671973,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:36.449704+00,45570,0,t,11862,-514248193,1111111111011111
4671980,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:40.837044+00,45569,0,t,11863,-514243805,1111111111001111
4672002,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:47.161369+00,45570,1,t,11864,-514237481,1111111111101111
4672018,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:51.679305+00,45569,1,t,11865,-514232964,1111111111111111
4672020,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:59.57722+00,45598,1,t,3570,-1807532883,1111111111101111
4672021,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:59.57722+00,45600,0,t,3570,-1807532883,1111111111101111
4672026,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:53.444036+00,45598,0,t,3569,-1807539016,1111111111101011
4672032,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:24.065455+00,45572,0,t,11866,-514200577,1111111101111111
4672035,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:28.407785+00,45571,0,t,11867,-514196235,1111111100111111
4672048,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:35.553923+00,45572,1,t,11868,-514189089,1111111110111111
4672081,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:40.025315+00,45571,1,t,11869,-514184617,1111111111111111
4672091,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:48.968617+00,45598,1,t,3571,-1807483492,1111111111111111
4672092,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:48.968617+00,45600,1,t,3571,-1807483492,1111111111111111
4672106,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:11.90972+00,45600,0,t,3572,-1807460551,1111111111101111
4672121,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:19.212697+00,45571,0,t,11871,-514145430,1111111100111111
4672122,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:19.212697+00,45572,0,t,11871,-514145430,1111111100111111
4672123,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:14.871284+00,45571,1,t,11870,-514149771,1111111101111111
4672135,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:26.066556+00,45571,0,t,11872,-514138576,1111111110111111
